A.1	S obzirom na to da se radi o raznoj vrijednosti, ne može se utvrditi da je to vrijednost koja se može utvrditi u skladu s člankom 6.4.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.223	kombinatorni dokaz da $\sum_{i=0}^n {n+i\choose i}\frac{1}{2^i} = 2^n$	Ne znam je li Pascalov identitet korisna ovdje. Ili možda postoji način koji uključuje binarne stringe? $2^n$ je broj binarnih stringa dužine $n$, pa ako postoji neki način da se razdelite ove stringe u nejednaku skup $B_i$ sa kardinalnošću ${n+i\choose i}\frac{1}{2^i}$, dokaz koji koristi tu metodu može djelovati. ${n+i\choose i}$ je broj binarnih stringa dužine $n+i$ sa točno $i$ onima, jer se može odabrati $i$ od $n+i$ pozicije da bude jedan na ${n+i\choose i}$ način i napraviti ostatak nula na jedan način. Onda podijelimo broj binarnih stringa dužine $i$, iako nisam siguran kako zaključiti kombinativni značaj ovoga.	combinatorics,elementary-set-theory,summation,combinatorial-proofs
A.224	Mislim da sam pronašao grešku u definiciji kontinuiteta.	Ako imam funkciju $f(x)$ definiranju sljedećim. $f(x) = 1$ za sve $x<1$ i $x>2$; $f(x) = 100$ za $x = 1.5$; $f(x)$ je nedefiniran nigdje drugdje. Prema $\varepsilon$-$\delta$ definiciji kontinuiteta, ako uzmem $\delta$ kao bilo koji pozitivan broj manji od $0.5$, onda je $f(x)$ po definiciji kontinuiran na $x = 1.5$ jer unutar $\delta$-kom susjedstva postoji samo jedna tačka definirana, ali $f(x)$ očito nije kontinuiran na $x = 1.5$.	continuity
A.225	Pronaći zbir nejednakih korijena kubnih jednadžbi	$\alpha,\beta$ zadovoljava $$\alpha^3-3\alpha^2+5\alpha-17=0\tag{1}$$ $$\beta^3-3\beta^2+5\beta+11=0\tag{2}$$ Nađite $\alpha+\beta$ jesu li tri korijena obje kubne jednadžbe jedinstvene ili postoji samo jedan korijen? Kako to dokazati? Koji je najbolji pristup ovom problemu? Pokušao sam koristiti Vietinu formule, gdje su suma tri korijena (1) i (2): $$\alpha_1+\alpha_2+\alpha_3=3$$ $$\beta_1+\beta_2+\beta_3=3$$ Sumaju oboje, $$\alpha_1+\alpha_2+\alpha_3+\beta_1+\beta_2+\beta_3=6$$ Pretpostavljajući da postoji samo jedan korijen za svaki od (1) i (2), završili smo, ali što ako nema?	cubic-equations
A.226	Parametrizacija krivulje $x^{x^y}=y$	Ovaj grafikon ima dvije komponente koje se prekrižu na točki $(1/e^e,1/e)=(e^{-e},e^{-1})$. Komponent 1 (kao što ću ga nazvati) je komponent $x^y=y$ koji ima jednostavnu parametrizaciju $$(x,y)=\left(t^{1/t},t\right),\qquad0 Component 2 is a path between the points $(0,0)$ and $(0,1) $.  Does component 2 also admit a parameterization?  To clarify: Component 2 is a path so of course it abstractly admits a parameterization, but I'm asking if there is a parametrization that we can actually write down algebraically in terms of elementary functions.  My motivation for this question is from the limiting behavior of the sequence $0,1,x,x^x,x^{x^x},x^{x^{x^x}},\ldots$, whose behavior is closely related to the solutions to XX1. In particular, if $x$ is less than $e^{-e}$ onda se ovaj niz mijenja između gornjih i donjih dijelova komponenta 2.	curves,parametric,plane-curves,parametrization
A.227	$1+2+3... =-\frac{1}{12}$ - Pitanje u vezi s ovim	Dakle, ja nisam veliki stručnjak u ovom području, ali znam da $1+2+3...=-\dfrac{1}{12}$ nije stvarna matematika, ali sve je stvar zeta funkcija; ali gledam matematički video i jednačina: $$ \frac{x(x+1)}{2} $$ ... je zapravo savršena jednačina za niz $1+2+3...$ itd. gdje $x$ predstavlja $n$ u nizu i $y$ je suma serije do $n$. Dakle, možete zaključiti da: $$ \sum^{n}_{i=1}1+2+3...=\frac{x(x+1)}{2} $$ Međutim, ovdje postaje čudno; kao što ste vjerojatno pogodili, korijeni jednačine su $x=0,-1$ ali ako želim pronaći integral korijena od $-1$ do $1+2+3...=-\dfrac{1}{12}$0 koji je ispod osi $x$, dobivam sljedeće: $1+2+3...=-\dfrac{1}{12}$1 Dakle, pitanje je zašto je to slučaj; kakva je veza između vrijednosti sume $x$ ispod osi $x$ koja je ova veza u odnosu na integralne serije Desmos grafika za više jasnoća?	definite-integrals,summation,quadratics,zeta-functions
A.228	Strašna integrala s parametrom	Naći integral $$F(x, y)=\int_{-\infty}^{+\infty} f(t+x) f(t+y) d t$$ sam pokušao istražiti f(x), uzeti ga u dijelove, dobio da se približava. F(x,y) je teško istražiti, jer je proizvod integrala tamo, ne znam što učiniti s njim.	definite-integrals,improper-integrals
A.229	Pronaći integral funkcije koja uključuje frakcijski dio x	$$\int_{0}^{1}\big\lbrace\frac{1}{x}\big\rbrace \big\lbrace\frac{1}{1-x}\big\rbrace \big\lbrace1-\frac{1}{x}\big\rbrace dx$$ gdje $\big\lbrace x\big\rbrace$ predstavlja frakcionalni dio $x$ prvo sam pokušao razbiti ga koristeći definisanje dijelom, ali nisam mogao shvatiti kako to učiniti jer nije bilo nikakvog dosljednog obrasca koji bih mogao prepoznati. Pokušao sam ga grafički dobiti ideju, ali to me također nije dovelo nigdje. Konačno sam pokušao koristiti svojstvo definirane integral da $\int_{0}^{a}f(x)dx=\int_{0}^{a}f(a-x)dx$ ali prvi i drugi termini ostaju isti i posljednji termin se promijenio, ali nije to dovelo do bilo kakvih primjećenih promjena.	definite-integrals,fractional-part
A.230	Pitanje o definiciji broja Ramsey	Dakle, prošao sam kroz definiciju Ramsey broja i imam osnovno pitanje. Definiranje: Za bilo koji dan broj boja, $c$, i bilo koji dan cijeli broj $n_1, …, n_c$, postoji broj, $R(n_1, …, n_c)$, tako da ako su granice kompletnog grafa reda $R(n_1, ..., n_c)$ obojene s c različite boje, onda za neke i između 1 i c, mora sadržavati kompletni podgraf reda ni čije granice su sve boje i.	definition,ramsey-theory
A.231	Zašto je 1 podijeljen na aleph nul neodefiniran?	U zadnje vrijeme razmišljam o beskonačnosti, i jedna od stvari na koju sam pomislio je da bi se mogla dobiti definirana vrijednost za recipročnost transfinitnog (kardinalnog) broja. Dakle, priključio sam $\frac{1}{א_0}$ u WolframAlpha i rekao je sljedeće: img1 Zašto je to slučaj? Zar ne bi trebalo biti slično ovom slučaju? $$\lim_{x\to\infty} \frac{1}{x} =0$$ nisu $\infty$ i $א_0$ jednaki istoj vrijednosti u ovom kontekstu? Što mi nedostaje ovdje?	definition
A.232	Definiranje Indukcijske Matrične Norme	Razumijem dvije varijante definicije indukcijske matrice. Pošto je norma $||\cdot||$ na $\mathbb{R}^n$, norma indukcijske matrice je definirana $$ \left\lVert A \right\rVert = \max_{\mathbf v\not =0}\frac{\left\lVert A\mathbf v \right\rVert}{\left\lVert \mathbf v \right\rVert} \qquad for \quad A \in \mathbb{R}^{n\times n}.$$ pokušavam odvesti drugu varijantu iz ove definicije tj. $$\left\lVert A \right\rVert =\max_{\Vert \mathbf w\Vert = 1}\Vert A \mathbf w\Vert.$$ Razmislite o $\mathbf v= \frac{\left\Vert\mathbf v\right\rVert\mathbf v}{\left\Vert\mathbf v\right\rVert}=\mathbf w\left\Vert\mathbf v\right\rVert $ gdje je $\mathbf w= \frac{\mathbf v}{||\mathbf v||}$ i $||\mathbf w||=1$. Stoga, $$ \left\lVert A \right\rVert = \max_{v\not =0}\frac{\left\lVert A\mathbf v \right\rVert}{\left\lVert \mathbf v \right\rVert}= \max_{v\not =0}\frac{\left\lVert A(\mathbf w\left\Vert\mathbf v\right\rVert )\right\rVert}{\left\lVert \mathbf v \right\rVert}=\max_{\mathbf v\not=0}\frac{||\mathbf v||}{||\mathbf v||}\Vert A \mathbf w\Vert.$$ ne znam kako nastaviti od sada. Također, čitam učitelje gdje kažu: $$\left\lVert A \right\rVert =\max_{\Vert \mathbf w\Vert = 1}\Vert A \mathbf w\Vert \quad for \quad \mathbf w \in \mathbb{R}^n .$$ Moje pitanje je da ne bi trebalo biti $||\cdot||$0 Jer $||\cdot||$1 znači $||\cdot||$2 što je isključeno jer $||\cdot||$3	definition,norm
A.233	Razlog za definiciju tangentnih vektora s izvedbama i zašto bi trebali djelovati na $f\in C^\infty(M)$	Opisam definiciju tangentnih prostora u Leejevom uvodu u gladane manifoldove i pokušavam se uvjeriti zašto bismo mogli definirati tangentne vektore kao izvedene u točki $p\in M$: Neka $M$ bude glatka varijacija, a neka $p\in M$. Linearnu mapu $v:C^\infty(M)\to \mathbb{R}$ nazivaju izvedena u $p$ ako \begin{align*} v(fg) = f(p) vg + g(p) vf \end{align*} za sve $f,g\in C^\infty(M)$. Do sada znam da ako $M=\mathbb{R}^n$, onda svaki derivat može biti dato kao pravna izvedena u nekim pravcima u $\mathbb{R}^n$. Nakon što smo pročitali dijelove na diferencijalnoj i njenih izračunavanja u korektama, zanima nas zašto bismo definirali tangentnu vektoru kao upotrebnu kolekciju koja djeluje na pravcu i funkcije na pravcu vektoru.	differential-geometry,differential-topology,smooth-manifolds,tangent-spaces
A.234	Sardsov teorema za polinom	Imam neke borbe s aspektom o nečemu što je očito trivijalno u Sardovoj teoremi, ali nisam mogao pronaći ništa na internetu. Neka je $f$ polinom. Prema Sardovoj teoremi, slika $f(Z)$ skup kritičnih vrijednosti $$Z = \{a \in X : f'(a) = 0\}$$ ima mjerilo nula. Što ako želim pokazati da je skup $Z$ sam ima mjerilo nula u domenu $f$? Osjećam se kao da je to tako jednostavno, ali jednostavno ne mogu doći iza njega.	differential-topology
A.235	Metod za rješavanje Diofantinske jednadžbe $ax^2 + bx + c = y^2$	Kako riješiti Diofantinsku jednadžbu $ax^2 + bx + c = y^2$? Približenjem koje sam do sada imao je korištenje transformacije $X = 2ax + b$ i $Y = 2y$. primjenom ovoga, dobivamo $X^2 - dY^2 = n$, gdje je $n = b^2 - 4ac$ i $d = a$. $X^2 - dY^2 = n$ je Pellova jednadžba.	diophantine-equations,computational-complexity,pell-type-equations
A.236	Normalna konstanta u Dirichletovoj raspodjeli	Prema referencama (npr. Wikipedija i drugdje), Dirichletova raspodjela, parametrizirana $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$ je $$ D(x_1, \ldots, x_K) = \frac{1}{\mathrm{B}(\boldsymbol\alpha)} \prod_{i=1}^K x_i^{\alpha_i - 1} $$ gdje $$ \mathrm{B}(\boldsymbol\alpha) = \frac{\prod_{i=1}^K \Gamma(\alpha_i)}{\Gamma\left(\sum_{i=1}^K \alpha_i\right)}. $$ Dakle, ako $K = 2$ i $\alpha_1 = \alpha_2 = 1$ onda to daje $ D(x_1, x_2) = 1/\mathrm{B(\boldsymbol\alpha)} $ gdje $$ \mathrm{B}(\boldsymbol\alpha) = \Gamma(1)^2 / \Gamma(2) = 1 $$ tako, $D(x_1, x_2) = 1$ za sve $x_1, x_2$. Međutim, $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$0 je definiran na standardnom $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$1-simpleksom definiranom u $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$2 $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$3 i $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$4. Ovo je raspon (ili afinog škrpa) dva tačka $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$5 i $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$6. Budući da je ovo linijski segment dužine $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$7, integral Dirichletove raspodjele na ovom simpleksu je $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$7, a ne $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$1 kao što se očekuje. Što mi nedostaje ovdje?	dirichlet-series
A.237	Prepisujte propise bez implikacije	Želim prepisati sljedeće vrste propozicija bez jednostavne ili dvostruke implikacije: $p \land \lnot q \to r$ $p \land \lnot q \to r \land q$ $(p \to r) \leftrightarrow (q \to r)$ Dakle, moramo napisati te propozicije bez ikakve implikacije, na primjer prva propozicija poput $p \land \lnot q \land r$ ili je nešto drugo mislilo?	discrete-mathematics,logic
A.238	U skladu s člankom 3. stavkom 1.	Prolazio sam tekst "Diskretna matematika i njezina primjena" od Kenneth Rosen (5. izdanje) gdje sam na definiciji ekvivalentnog odnosa i smatrao da je jednostrana. Definiranje: Odnos na skup A naziva se ekvivalentnim odnosom ako je odraznički, simetrički i tranzitivni. Sada ćemo analizirati situaciju o tome što je ekvivalentnost za nas intuitivno. Neka bude binarni odnos $R$ definiran na skup $A$. Sada pretpostavimo da je $R$ refleksivan, simetričan i tranzitivni. Dakle, ako imamo za $a,b,c \in A$ $a R a$ (za refleksivanom svojstvom R) ako $a R b$ onda $b R a$ (za refleksivanom svojstvom R) ako je tranzitivni i $b R c$ onda $aRc$ (za tranzitivnom svojstvom R) sada intuitivno možemo zadovoljiti činjenicom da su nam potrebne uvjete za ekvivalentnost, a onda možemo zaključiti da je to vrlo čudno, ako imamo intuitivni odnos, a onda možemo zaključiti da je to "impektivno, ako je to za $\sim$ i $\sim$", a zatim ako je to "impektivno, ako je to znači da je to, ako je to, ako je, onda je, onda je, onda je, ako je, onda je, onda je, ako je, onda je, ako, onda je, ako, onda je, ako, onda je, ako, onda je, ako, onda je, ako, onda je, ako, onda je, onda je, ako, ako, onda je, ako, onda je, ako, onda je, ako, onda je, ako, ako, onda je, ako, onda je, ako, ako, onda je, ako, ako, onda je, ako, ako, onda je, ako, ako, onda je, ako, onda je, ako, ako, onda je, ako, ako, onda je, ako, onda je, ako, ako, onda je, ako, onda je, ako je, ako, ako je, ako je, onda je, ako je, ako je, ako je, ako je, onda je, ako je, ako je, onda, je, ako je, ako je, ili je, ako je, ako je, ili je, ako je, ako je, ako je, ili je, ako je, ako je, ako je, ili je, ako je, ako je, ili je, ako je, ako je, ako je, ili je, ako je, ako je, ili je, je, ako je, ili je, ako je, ili je, ako je, ako je, ili je, ako je, ako je, ili je, je, ako je, ili je, je, ako je, ili je, ako je, ili je, ako je, ili je, ili je, je, ako je, ili je, ako je, ili je, je, ili je, ako je, ili je, ako je, ili je, ako je, ili je, ili je, ak	discrete-mathematics,elementary-set-theory,proof-writing,definition,relations
A.239	Lažni dokaz, simetrična i tranzitna veza je već refleksivno	Ako je $(x, y) \in R$ onda simetrična svojina znači da je $(y, x) \in R$. Koristeći tranzitni svojinu na $(x, y)$ i $(y, x)$ možemo zaključiti $(x, x) \in R$.	discrete-mathematics,relations,fake-proofs
A.240	Što konstante "4" i "2" u Bhaskara znače i odakle su došli?	U bhaskaru, način da se dobije rezultat je dobiti $\Delta  = b^2 – 4ac$, a zatim $X = (–b \pm \sqrt\Delta)/2a)$. Ali odakle dolaze ove konstante?	education
A.241	Sredstva za razdvajanje	Neka je $n = 2, 3, 4, ...$ čitav broj. Pokaži da je $n^3 +6n^2-7n$ podijeljen $6$. Kako bi se trebao pristupiti ovome?	elementary-number-theory
A.242	Pokažite da za sve prvo brojeve $p$ veći od $3$, $24$ raznosi $p^2-1$ jednako.	Pokažite da za sve prazne brojeve $p$ veći od $3$, $24$ dijeli $p^2-1$ jednako.	elementary-number-theory
A.243	Ako je $2^{2k}-x^2\bigm|2^{2k}-1$ onda je $x=1$	To je slučaj $y=2^k$ ovog pitanja. Pretpostavimo da su $k\geq1$ i $0 and $2^{2k}-x^2\m bigout2^{2k}-1$. Is it necessarily the case that $x=1$? Equivalently: Suppose that there are two positive divisors of $2^{2k}-1$ which average to $2^k$. Is it necessarily the case that these two divisors are $2^k-1$ and $2^k+1$?	elementary-number-theory,divisibility
A.244	Računajte kardinalitet skupa koeficienta	Neka je $R$ ekvivalentni odnos na $\Bbb{R}$ definiran: $$aRb \Leftrightarrow (a-b)\in \Bbb{Z}$$ Što je kardinalitet $|\Bbb{R}/R|$? gdje je $\Bbb{R}/R$ skup koeficijenta $\Bbb{R}$ ispod $R$.	elementary-set-theory
A.245	Postoji li poznati skup rješenja zatvorene forme funkcionalne jednadžbe f(f(z)) = sin z?	To je $$ f(f(z)) = \sin z $$ gdje je $$ z \in \mathbb{Z} $$	functional-equations
A.246	Naći $n$ tako da u redovnom $n$-gon $A_1A_2\ldots A_n$ imamo $\frac1{A_1A_2}=\frac1{A_1A_3}+\frac1{A_1A_4}$	INMO '92 pitanje 9: Naći $n$ tako da u redovnom $n$-gon $A_1A_2 ...A_n$ imamo $$\frac{1}{A_1A_2}=\frac{1}{A_1A_3}+\frac{1}{A_1A_4}$$ pokušao sam sljedeće Pretpostavimo da je upisana u krug. Onda je dužina struka $2\sin(\theta)$ gdje $\theta$ je pola ugla podvrgnut u središtu između zaporednih tačaka. Dakle, $\theta=\frac{180^\circ}{n}$. Onda imamo $$\csc(\theta)=\csc(2\theta)+\csc(3\theta)$$ Ne znam baš kako nastaviti odatle- korištenje dvostruko i trostruko uglo formula ne izgleda raditi	geometry,trigonometry,contest-math,polygons
A.247	Pronaći krajnje točke maksimalne lukove kruga $x^2+(y-8)^2=25$ vidljive iz $(0,-5)$.	U ovom slučaju, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u ovom trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u kojem je u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u kojem je, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u kojem je, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u kojem je, u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u kojem je u trenutku, u trenutku, u trenutku, u trenutku, u trenutku, u kojem je u trenutku, u trenutku, u trenutku, u kojem je u trenutku, u trenutku, u trenutku, u kojem je u trenutku, u trenutku, u trenutku, u trenutku, u kojem je u trenutku, u kojem je u trenutku, u trenutku, u trenutku, u trenutku, u kojem je u trenutku kad	geometry,analytic-geometry
A.248	izraz znači "izraz" ili "izraz"	$G$ je abelijanska skupina s ravnom nivou i $M:=\{g\in G:g^2=e\}$. lako je pokazati da je $M$ sugroup $G$ i broj elemenata $M$ mora biti moć $2$. Želim dokazati da je proizvod elemenata $G$ (koji je u ovom slučaju jednak proizvodu elemenata $M$) nije identitetni element $e$, ako i samo ako #$M=2$ (to znači da postoji samo jedan element s vrstom $2$).	group-theory,finite-groups
A.249	Abelijska grupa dokaza s $g*g=e$ za sve $g$.	Moram pokazati da je sljedeća skupina $$ (G, * , e) $$ s operacijom $*$, koja je definirana kroz $ g*g = e$ za svaki $g \in G $ abelijanska skupina. Da bi to učinio, moramo samo pokazati da je grupa komutativna. Kako to dokazati dok se operacija uvijek definira između elementa i sebe?	group-theory,abelian-groups,monoid
A.250	Kako prikazati $(a_1a_2\ldots a_n)^{\frac{1}{n}}\leq \frac{\sum_{i=1}^{n}a_i}{n}$	Kako pokazati $(a_1a_2\ldots a_n)^{\frac{1}{n}}\leq \frac{\sum_{i=1}^{n}a_i}{n}$ s $a_i$ pozitivnim. Pa, pokušao sam indukcijom: s $n=2$ onda $\sqrt{ab}\leq \frac{a+b}{2}$ je ekvivalent reći (podignite kvadrat na obje strane) $4ab\leq a^2 +2ab + b^2$ i ovo je ekvivalent $0\leq(a-b)^2$ i to je istina. Pretpostavljam da je istina za neke $n$. Ali s $n+1$, ne znam kako da radim, molim vas, možete mi pomoći s naznakom ili na drugi način, hvala vam puno.	inequality,a.m.-g.m.-inequality
A.251	Kako dokazati da je $(k+1)^{\frac{1}{k+1}} < k^{\frac{1}{k}} (k >= 3)$ pomoću matematičke indukcije?	Pokušavam riješiti ovo satima, ali ne mogu to učiniti. I da, znam da moram pokazati da $(k+2)^{\frac{1}{k+2}} < ... < (k + 1)^{\frac{1}{k+1}}$ od početne pretpostavke da $(k+1)^{\frac{1}{k+1}} < k^{\frac{1}{k}}$. Bilo kakve sugestije bi bili vrlo dobrodošli.	inequality,induction
A.252	Neuočekivani pojavi $\pi^2 /~6$.	Broj $\frac 16 \pi^2$ se iznenađujuće često i često pojavljuje na neočekivanim mjestima. - Julian Havil, Gamma: Eksploracija Eulerove konstante. Poznato je, posebno u 'pop matematici', da je $$\zeta(2)=\frac1{1^2}+\frac1{2^2}+\frac1{3^2}+\cdots = \frac{\pi^2}{6}.$$ Eulerov dokaz prilično lijep. Volio bih znati gdje se ovaj konstanta pojavljuje ne-trivijalno. Ovo je malo široko, pa su detalji mog pitanja: Možemo se igrati zeta funkcijom na proizvoljnim čak i cjelovitim vrijednostima kako bi izbacili $\zeta(2)$. smatrao bih ove 'izglednosti' $\frac 16 \pi^2$ redovitim i tražio bih da se ne spominju osim ako imate neki zlosudno uvjerljivi razlog da ga uključite. 'Ne-trivijalno', mislim da ne želim dati zanimljive serije, jednostavno trivijalne, itd.	integration,sequences-and-series,riemann-zeta,big-list,pi
A.253	Kako bih prikazao rezultat ispod koristeći integraciju kontur?	Kako bih pokazao rezultat ispod koristeći kontur integracije? $$\int_{-\infty}^{\infty} \frac{\cos bx - \cos ax}{x^2} dx = \pi (a-b)$$ gdje a>b>0 koristeći kontur integracije. Bilo kakva pomoć bi bila vrlo zahvalna, hvala!	integration,complex-analysis,trigonometry,fourier-analysis,contour-integration
A.254	Teško pitanje integracije	Mogu li dobiti neke savjete kako riješiti ovaj integral?	integration,definite-integrals
A.255	Članci 1	Ovo je prvi put da sam naišao na problem pronalaska integral $\propto$. Imam zajedničku raspodjelu $$f_{X,Y}(x,y) \propto \exp\left(13xy - 94x^2 - \frac{1}{2}y^2\right)$$ gdje $ -\infty< x <\infty, -\infty< y <\infty $ pokušao pronaći $f_X(x)$ sljedeće: \begin{align*} f_X(x) &\propto \int_{-\infty}^\infty e^{13xy - 94x^2 - \frac{1}{2}{\rm d}y\\ &\propto \int_{-\infty}^\infty e^{-\frac{1}{2}{2}y - \frac{19x^2}{2}}{\rm}y\\ &\propto \frac{1}{e{\frac{x^2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{2}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}{5}}{5}{5}}{5}{5}{5}{5}}}{5}{5}{5}}{5}}{5}}}{5}{5}}{5}}}{5}{5}}{5}{5}}}{5}{5}{5}{5}}}}{5}{5}{5}}{5}{5}}{5}}}}{5}{5}{5}{5}}}{5}}}}}}}}{5}{5}}}}{5}}}}{5}}{5}{5}}}{5}{5}}}}}}}}}{5}{5}}{5}}}}{5}{5}{5}}}{5}{5}}}{5}{5}}{5}}}}}}}}}}}}{5}{5}{5}{5}{5}}}}{5}{5}}{5}}}}}{5}}}}{5}}}}{5}{5}}}{5}{5}{5}{5}{5}}}}{5}}}}}}{5}}}{5}}}}}{5}{5}}}{5}}}}{5}{5}}}}}}{5}	integration,probability-distributions,definite-integrals
