A.1	U skladu s člankom 4. stavkom 1. stavkom 1. točka 1.	Ja sam udoban kad me pitaju da izračunati raspon racionalne funkcije, ali kako učiniti obrnuto?	functions
A.223	kombinatorni dokaz da je $\sum_{i=0}^n {n+i\choose i}\frac{1}{2^i} = 2^n$	Kad je to moguće, onda ćemo podijeliti broj dvostruke stringe dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvostruke dvos dvos dvostruke dvos dvostruke dvostruke dvos dvostruke dvos dvostruke dvostruke dvostruke dvos dvostruke dvos dvostruke dvos dvostruke dvos dvostruke dvos dvos dvostruke dvos dvos dvostr	combinatorics,elementary-set-theory,summation,combinatorial-proofs
A.224	Mislim da sam pronašao grešku u definiciji kontinuiteta $\varepsilon$-$\delta$.	Ako imam funkciju $f(x)$ definiranju sljedećim: $f(x) = 1$ za sve $x<1$ i $x>2$; $f(x) = 100$ za $x = 1.5$; $f(x)$ nije definiran nigdje drugdje. Prema definiciji kontinuiteta $\varepsilon$-$\delta$, ako uzmem $\delta$ kao bilo koji pozitivan broj manji od $0.5$, onda je $f(x)$ po definiciji kontinuiran u $x = 1.5$ jer unutar $\delta$-komšiljka postoji samo jedna tačka definirana, ali $f(x)$ očito nije kontinuiran u $x = 1.5$.	continuity
A.225	Pronaći zbir nejednakih korijena kubnih jednadžbi	$\alpha,\beta$ zadovoljava $$\alpha^3-3\alpha^2+5\alpha-17=0\tag{1}$$ $$\beta^3-3\beta^2+5\beta+11=0\tag{2}$$ Nađi $\alpha+\beta$ jesu li tri korena obje kubne jednadžbe jedinstvene ili postoji samo jedan koren? Kako to dokazati? Koji je najbolji pristup ovom problemu? Pokušao sam koristiti Vietinu formule, gdje je suma tri korena (1) i (2): $$\alpha_1+\alpha_2+\alpha_3=3$$ $$\beta_1+\beta_2+\beta_3=3$$	cubic-equations
A.226	U skladu s člankom 4. stavkom 1.	Ovaj grafikon ima dvije komponente koje se prekrušaju u točki $(1/e^e,1/e)=(e^{-e},e^{-1})$. Komponent 1 (kao što ću ga nazvati) je komponenta $x^y=y$ koji ima jednostavnu parametrizaciju $$(x,y)=\left(t^{1/t},t\right),\qquad0 Component 2 is a path between the points $(0,0) $ and $(0,1) $.  Does component 2 also admit a parameterization?  To clarify: Component 2 is a path so of course it abstractly admits a parameterization, but I'm asking if there is a parametrization that we can actually write down algebraically in terms of elementary functions.  My motivation for this question is from the limiting behavior of the sequence $0,1,x,x^x,x^{x^x},x^{x^{x^x}}},\ldots$, whose behavior is closely related to the solutions to QZ1. In particular, if $x$ is less than $e^{-e}$ onda se ovaj niz izmjenjuje između gornjih i donjih dijelova komponente 2.	curves,parametric,plane-curves,parametrization
A.227	$1+2+3... =-\frac{1}{12}$ - Pitanje u vezi s ovim	Dakle, ja nisam veliki stručnjak u ovom području, ali znam da $1+2+3...=-\dfrac{1}{12}$ nije stvar s "istinom" matematike, ali sve je stvar s zeta funkcijom; ali gledam matematički video i jednačina: $$ \frac{x(x+1)}{2} $$ ... je zapravo savršena jednačina za niz $1+2+3...$ itd. gdje $x$ predstavlja $n$ u nizu i $y$ je suma serije do $n$. Dakle, možete zaključiti da: $$ \sum^{n}_{i=1}1+2+3...=\frac{x(x+1)}{2} $$ Međutim, ovdje postaje čudno; kao što ste vjerojatno pogodili, korijeni jednačine su $x=0,-1$ ali ako želim pronaći integral korijena od $-1$ do $1+2+3...=-\dfrac{1}{12}$0 koji je ispod osi $x$, dobivam sljedeće: $1+2+3...=-\dfrac{1}{12}$1 Dakle, moj je pitanje zašto je to slučaj; što je veza između vrijednosti integrale pod osi $x$ koja je u odnosu na ovu seriju Desmos je u vezi s jasnom grafom za ovu grafiku?	definite-integrals,summation,quadratics,zeta-functions
A.228	Strašna integrala s parametrom	Naći integral $$F(x, y)=\int_{-\infty}^{+\infty} f(t+x) f(t+y) d t$$ sam pokušao istražiti f(x), uzeti ga u dijelove, dobio da se približava.	definite-integrals,improper-integrals
A.229	Pronaći integral funkcije koja uključuje frakcijski dio x	U ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u ovom slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju, u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj u kojoj u kojoj je u kojoj je u kojoj je u kojoj je u kojoj je u kojoj je u kojoj je u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj je u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj je u slučaju u slučaju u kojoj je u kojoj je u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj je u slučaju u slučaju u kojoj je u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj u kojoj je u slučaju u slučaju u kojoj je u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj u kojoj u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj u kojoj u slučaju u slučaju u kojoj u slučaju u slučaju u slučaju u kojoj u slučaju u slučaju u kojoj u kojoj u slučaju u slučaju u slučaju u slučaju u slučaju u slučaju u kojoj u slučaju u slučaju u slučaju u slučaju u kojoj u slučaju u slučaju u slučaju u kojoj u slučaju u slučaju u kojoj u kojoj u kojoj u slučaju u slučaju u kojoj u slučaju u slučaju u slučaju u kojoj u slučaju u slučaju u slučaju u slučaju u slučaju u trs u trsesu u kojoj u trsesu u kojoj u kojoj u trsesu u trsesu u trsesu u trsesu u trsesu u trsesu u trs bilo u trsesu u trese u trsese u trese u trsese u trese u trsese u trese u trese u trsese u trsese u trsese u trsese u trsese u trsese u trs bitju, ne može u trs bitju u trs bitju, ne može u trs bitju u trs bitju u trs bitju u trs bitju, ne može da je u trs bitju u trs bitju u trs bitju u trs bitju u trs bitju u trs bitju u trs bitju u kojoj je u trs bitju u trs bitju u trs bitju u trs bitju u trs bitju u trs bitju u trs bitju u trsnu u trsnu u trsnu u trs	definite-integrals,fractional-part
A.230	Pitanje o definiciji broja Ramsey	Dakle, prošao sam kroz definiciju Ramsey broja i imam osnovno pitanje. Definicija: Za bilo koji dan broj boja, $c$, i bilo koji dan cijeli broj $n_1, …, n_c$, postoji broj, $R(n_1, …, n_c)$, tako da ako su granice kompletnog grafa reda $R(n_1, ..., n_c)$ obojene s c različitim bojama, onda za neke i između 1 i c, mora sadržavati kompletni podgraf reda ni čije su granice sve boje i.	definition,ramsey-theory
A.231	Zašto je 1 podijeljen na aleph nul neodefiniran?	U zadnje vrijeme razmišljam o beskonačnosti, i jedna od stvari na koju sam pomislio je da bi se mogla dobiti definirana vrijednost za recipročnost transfinitnog (kardinalnog) broja. Dakle, priključio sam $\frac{1}{א_0}$ u WolframAlpha i rekao je sljedeće: img1 Zašto je to slučaj? Zar ne bi trebalo biti slično ovom slučaju?	definition
A.232	Definiranje Indukcijske Matrične Norme	Razumijem dvije varijante definicije indukcijske matrice. S obzirom na norm $||\cdot||$ na $\mathbb{R}^n$, induktivna matrice norma je definirana od strane $$ \left\lVert A \right\rVert = \max_{\mathbf v\not =0}\frac{\left\lVert A\mathbf v \right\rVert}{\left\lVert \mathbf v \right\rVert} \qquad for \quad A \in \mathbb{R}^{n\times n}.$$ pokušavam odvojiti drugu varijantu iz ove definicije tj. $$\left\lVert A \right\rVert =\max_{\Vert \mathbf w\Vert = 1}\Vert A \mathbf w\Vert.$$ Razmislite o $\mathbf v= \frac{\left\Vert\mathbf v\right\rVert\mathbf v}{\left\Vert\mathbf v\right\rVert}=\mathbf w\left\Vert\mathbf v\right\rVert $ gdje su $\mathbf w= \frac{\mathbf v}{||\mathbf v||}$ i $||\mathbf w||=1$. Stoga, $$ \left\lVert A \right\rVert = \max_{v\not =0}\frac{\left\lVert A\mathbf v \right\rVert}{\left\lVert \mathbf v \right\rVert}= \max_{v\not =0}\frac{\left\lVert A(\mathbf w\left\Vert\mathbf v\right\rVert )\right\rVert}{\left\lVert \mathbf v \right\rVert}=\max_{\mathbf v\not=0}\frac{||\mathbf v||}{||\mathbf v||}\Vert A \mathbf w\Vert.$$ ne znam kako nastaviti od sada. Također, čitam učitelje gdje kažu: $$\left\lVert A \right\rVert =\max_{\Vert \mathbf w\Vert = 1}\Vert A \mathbf w\Vert \quad for \quad \mathbf w \in \mathbb{R}^n .$$ Moje pitanje je da ne bi trebalo biti $||\cdot||$0 Jer $||\cdot||$1 znači $||\cdot||$2 što je isključeno jer $||\cdot||$3	definition,norm
A.233	U skladu s člankom 4. stavkom 1. stavkom 1. stavkom 1. točka 1.	Preusmjeravam definiciju tangentnih prostora u Leejevom uvodu u glatke manifoldove i pokušavam se uvjeriti zašto bismo mogli definirati tangentne vektore kao izvedene u točki $p\in M$: Neka $M$ bude glatka raznolikost, a neka $p\in M$. Linearna karta $v:C^\infty(M)\to \mathbb{R}$ se zove izvedena u $p$ ako bi \begin{align*} v(fg) = f(p)vg + g(p)vf \end{align*} for all $f,g\in C^\infty(M)$.  So far, I know that if $M=\mathbb{R}^n$, then each derivation can be given as a directional derivative in some direction in $\mathbb{R}^n$. After reading the parts on the differential and its computation in coordinates, I'm still wondering why we would be interested in defining a tangent vector as a map that acts on functions on the manifold and the benefits from acting on smooth functions. The main reason that I can think of is that the collection of derivations at a point forms a vector space, which is we what want for a tangent space. I have also looked at the approach of defining tangent vectors with equivalence classes of curves, but it seems that there's also an action on $f\in C^\infty(M)$ going on; we call curves $\gamma:J\to M$ the tangent vectors, and they have a directional-derivative-like operators that act on $f\in C^\infty(M)$ by \begin{align*} \left.\frac{d}{dt}(f\circ \gamma)(t)\right|_{t=0}. \end{align*} This seems really similar to how a vector in $\mathbb{R}^n$ defines its own directional derivative, but again, I'm not sure why the action on $f\in C^\infty\M) $ bila korisna/značajna.	differential-geometry,differential-topology,smooth-manifolds,tangent-spaces
A.234	Sardsov teorema za polinom	Imam neke borbe s aspektom o nečemu što je očito trivijalno u Sardovoj teoremi, ali nisam mogao pronaći ništa online. Neka $f$ bude polinom. Prema Sardovoj teoremi, slika $f(Z)$ skup kritike vrijednosti $$Z = \{a \in X : f'(a) = 0\}$$ ima mjerenje nula. Što ako želim pokazati da je skup $Z$ sam ima mjerenje nula u domenu $f$? Osjećam se kao da je to tako jednostavno, ali jednostavno ne mogu doći iza njega.	differential-topology
A.235	Metod za rješavanje Diofantinske jednadžbe $ax^2 + bx + c = y^2$	Kako riješiti Diofantinsko jednadžbo $ax^2 + bx + c = y^2$? Približenjem koje sam do sada imao je korištenje transformacije $X = 2ax + b$ i $Y = 2y$. primjenom ovoga, dobivamo $X^2 - dY^2 = n$, gdje $n = b^2 - 4ac$ i $d = a$. $X^2 - dY^2 = n$ je Pellova jednadžba.	diophantine-equations,computational-complexity,pell-type-equations
A.236	Normalna konstanta u Dirichletovoj raspodjeli	Prema referencama (npr. Wikipedija i drugdje), Dirichletova raspodjela, parametrizirana $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$ je $$ D(x_1, \ldots, x_K) = \frac{1}{\mathrm{B}(\boldsymbol\alpha)} \prod_{i=1}^K x_i^{\alpha_i - 1} $$ gdje $$ \mathrm{B}(\boldsymbol\alpha) = \frac{\prod_{i=1}^K \Gamma(\alpha_i)}{\Gamma\left(\sum_{i=1}^K \alpha_i\right)}. $$ Dakle, ako $K = 2$ i $\alpha_1 = \alpha_2 = 1$ onda to daje $ D(x_1, x_2) = 1/\mathrm{B(\boldsymbol\alpha)} $ gdje $$ \mathrm{B}(\boldsymbol\alpha) = \Gamma(1)^2 / \Gamma(2) = 1 $$ tako, $D(x_1, x_2) = 1$ za sve $x_1, x_2$. Međutim, $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$0 je definiran na standardnom $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$1-simpleksom definiranom u $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$2 od strane $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$3 i $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$4. Ovo je raspon (ili afinisani škrup) dvije točke $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$5 i $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$6. Budući da je ovo linijski segment dužine $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$7, integralna raspodjela Dirichleta na ovom simpleksu je $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$7, a ne $\boldsymbol{\alpha}=(\alpha_1,\ldots,\alpha_K)$1 kao što se očekuje. Što je pogrešno ovdje?	dirichlet-series
A.237	Prepisujte propise bez implikacije	Želim prepisati sljedeće vrste propozicija bez jednostavne ili dvostruke implikacije: $p \land \lnot q \to r$ $p \land \lnot q \to r \land q$ $(p \to r) \leftrightarrow (q \to r)$ Dakle, moramo napisati te propozicije bez ikakve implikacije, na primjer, prva propozicija kao što je $p \land \lnot q \land r$ ili je nešto drugo mislilo?	discrete-mathematics,logic
A.238	U skladu s člankom 3. stavkom 1.	Prolazio sam tekst "Diskretna matematika i njezina primjena" od Kenneth Rosen (5. izdanje) gdje sam na definiciji ekvivalentnog odnosa i smatrao da je jednostrana. Definiranje: Odnos na skup A naziva se ekvivalentnim odnosom ako je reflektivni, simetrični i tranzitni. Sada ćemo analizirati situaciju o tome što je ekvivalentno značilo za nas intuitivno. Neka postoji binarni odnos $R$ definiran na skup $A$. Sada pretpostavimo da je $R$ reflektivni, simetrični i tranzitni. Dakle, imamo definiciju $a,b,c \in A$ $a R a$ (podraz reflexivnog smisla R) ako je $a R b$ onda $b R a$ (podraz reflexivnog značenja R) ako je $a R b$ a zatim $b R c$ onda $aRc$ (podraz tranzitni vlast R) Dakle, ako imamo intuitivni odnos koji je vrlo neprimjetljiv, onda možemo zaključiti da je to impektivno, ako je to impektivno, ako je to impektivno, ako je to impektivno, ako je to impektivno, ako je primjenjivo, ako je to znači da je ekvivalentno odnos $R$ i $R$ i $R$ i $R$ i $R$ i da je, ako je to znači da je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono, ako je ono, ako je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je, ako je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što je ono što	discrete-mathematics,elementary-set-theory,proof-writing,definition,relations
A.239	Lažni dokaz, simetrična i tranzitna veza je već refleksivno	Kad je $R$ simetričan, prelazni odnos, ako je $(x, y) \in R$ onda simetrična svojina znači da je $(y, x) \in R$. Koristeći prelazni svojinu na $(x, y)$ i $(y, x)$ možemo zaključiti $(x, x) \in R$.	discrete-mathematics,relations,fake-proofs
A.240	Što konstante "4" i "2" u Bhaskara znače i odakle su došli?	U bhaskaru, način da se dobije rezultat je dobiti $\Delta  = b^2 – 4ac$, a zatim $X = (–b \pm \sqrt\Delta)/2a)$. Ali odakle dolaze ove konstante?	education
A.241	U skladu s člankom 1. stavkom 1.	Neka je $n = 2, 3, 4, ...$ cjeloviti broj. Pokažite da je $n^3 +6n^2-7n$ podijeljen po $6$. Kako se to treba pristupiti?	elementary-number-theory
A.242	Pokažite da za sve prazne brojeve $p$ veći od $3$, $24$ raznosi $p^2-1$ jednako.	Pokažite da za sve prazne brojeve $p$ veći od $3$, $24$ dijeli $p^2-1$ jednako.	elementary-number-theory
